Country,RemovedAirports,GCC_nodes_after,S_ratio_after,Drop_in_S_ratio
Ethiopia,13,3175,0.9959222082810539,0.004077791718946067
Romania,12,3176,0.9962358845671268,0.0037641154328732496
Poland,11,3177,0.9965495608531995,0.0034504391468005435
Uzbekistan,11,3177,0.9965495608531995,0.0034504391468005435
Fiji,10,3177,0.9965495608531995,0.0034504391468005435
Egypt,10,3178,0.9968632371392723,0.0031367628607277265
Mozambique,10,3178,0.9968632371392723,0.0031367628607277265
Yemen,9,3179,0.9971769134253451,0.0028230865746549094
Taiwan,9,3179,0.9971769134253451,0.0028230865746549094
Mongolia,9,3179,0.9971769134253451,0.0028230865746549094
Nepal,9,3179,0.9971769134253451,0.0028230865746549094
Cuba,9,3179,0.9971769134253451,0.0028230865746549094
Croatia,8,3180,0.9974905897114178,0.0025094102885822034
United Arab Emirates,8,3180,0.9974905897114178,0.0025094102885822034
Tanzania,8,3180,0.9974905897114178,0.0025094102885822034
Libya,8,3180,0.9974905897114178,0.0025094102885822034
Panama,7,3180,0.9974905897114178,0.0025094102885822034
Tunisia,8,3180,0.9974905897114178,0.0025094102885822034
Bangladesh,8,3180,0.9974905897114178,0.0025094102885822034
Denmark,8,3180,0.9974905897114178,0.0025094102885822034
Zambia,7,3181,0.9978042659974906,0.0021957340025093863
Ireland,7,3181,0.9978042659974906,0.0021957340025093863
Maldives,7,3181,0.9978042659974906,0.0021957340025093863
Dominican Republic,7,3181,0.9978042659974906,0.0021957340025093863
Honduras,7,3181,0.9978042659974906,0.0021957340025093863
Laos,7,3181,0.9978042659974906,0.0021957340025093863
Cape Verde,7,3181,0.9978042659974906,0.0021957340025093863
Cook Islands,6,3182,0.9981179422835633,0.0018820577164366803
Belgium,5,3182,0.9981179422835633,0.0018820577164366803
Austria,6,3182,0.9981179422835633,0.0018820577164366803
Puerto Rico,6,3182,0.9981179422835633,0.0018820577164366803
Israel,5,3182,0.9981179422835633,0.0018820577164366803
Cameroon,5,3183,0.9984316185696361,0.0015683814303638632
Iceland,5,3183,0.9984316185696361,0.0015683814303638632
Netherlands,5,3183,0.9984316185696361,0.0015683814303638632
Sri Lanka,5,3183,0.9984316185696361,0.0015683814303638632
Sudan,5,3183,0.9984316185696361,0.0015683814303638632
Switzerland,5,3183,0.9984316185696361,0.0015683814303638632
Somalia,5,3183,0.9984316185696361,0.0015683814303638632
Azerbaijan,5,3183,0.9984316185696361,0.0015683814303638632
Czech Republic,5,3183,0.9984316185696361,0.0015683814303638632
Ghana,5,3183,0.9984316185696361,0.0015683814303638632
Iraq,5,3183,0.9984316185696361,0.0015683814303638632
Netherlands Antilles,5,3183,0.9984316185696361,0.0015683814303638632
Micronesia,4,3184,0.998745294855709,0.0012547051442910462
Namibia,4,3184,0.998745294855709,0.0012547051442910462
Turks and Caicos Islands,4,3184,0.998745294855709,0.0012547051442910462
Botswana,4,3184,0.998745294855709,0.0012547051442910462
Bulgaria,4,3184,0.998745294855709,0.0012547051442910462
Afghanistan,4,3184,0.998745294855709,0.0012547051442910462
Oman,3,3185,0.9990589711417817,0.0009410288582183401
Senegal,3,3185,0.9990589711417817,0.0009410288582183401
Zimbabwe,3,3185,0.9990589711417817,0.0009410288582183401
Uganda,3,3185,0.9990589711417817,0.0009410288582183401
Tajikistan,3,3185,0.9990589711417817,0.0009410288582183401
Estonia,3,3185,0.9990589711417817,0.0009410288582183401
Belize,3,3185,0.9990589711417817,0.0009410288582183401
Bosnia and Herzegovina,3,3185,0.9990589711417817,0.0009410288582183401
Cayman Islands,3,3185,0.9990589711417817,0.0009410288582183401
Cambodia,3,3185,0.9990589711417817,0.0009410288582183401
Cyprus,3,3185,0.9990589711417817,0.0009410288582183401
Congo (Brazzaville),2,3185,0.9990589711417817,0.0009410288582183401
Georgia,3,3185,0.9990589711417817,0.0009410288582183401
Mauritania,3,3185,0.9990589711417817,0.0009410288582183401
Mauritius,2,3185,0.9990589711417817,0.0009410288582183401
Lithuania,3,3185,0.9990589711417817,0.0009410288582183401
Saint Kitts and Nevis,2,3186,0.9993726474278545,0.0006273525721455231
Rwanda,2,3186,0.9993726474278545,0.0006273525721455231
Saint Lucia,2,3186,0.9993726474278545,0.0006273525721455231
Slovakia,2,3186,0.9993726474278545,0.0006273525721455231
Singapore,1,3186,0.9993726474278545,0.0006273525721455231
Uruguay,2,3186,0.9993726474278545,0.0006273525721455231
Trinidad and Tobago,2,3186,0.9993726474278545,0.0006273525721455231
Virgin Islands,2,3186,0.9993726474278545,0.0006273525721455231
Burkina Faso,2,3186,0.9993726474278545,0.0006273525721455231
British Virgin Islands,2,3186,0.9993726474278545,0.0006273525721455231
Barbados,1,3186,0.9993726474278545,0.0006273525721455231
Armenia,2,3186,0.9993726474278545,0.0006273525721455231
Christmas Island,1,3186,0.9993726474278545,0.0006273525721455231
Equatorial Guinea,2,3186,0.9993726474278545,0.0006273525721455231
Eritrea,2,3186,0.9993726474278545,0.0006273525721455231
Guernsey,2,3186,0.9993726474278545,0.0006273525721455231
Gabon,2,3186,0.9993726474278545,0.0006273525721455231
Guyana,2,3186,0.9993726474278545,0.0006273525721455231
Haiti,2,3186,0.9993726474278545,0.0006273525721455231
Hong Kong,1,3186,0.9993726474278545,0.0006273525721455231
Hungary,2,3186,0.9993726474278545,0.0006273525721455231
Seychelles,2,3186,0.9993726474278545,0.0006273525721455231
Serbia,2,3186,0.9993726474278545,0.0006273525721455231
Reunion,2,3186,0.9993726474278545,0.0006273525721455231
Wallis and Futuna,2,3186,0.9993726474278545,0.0006273525721455231
Western Sahara,2,3186,0.9993726474278545,0.0006273525721455231
Kiribati,2,3186,0.9993726474278545,0.0006273525721455231
Montenegro,2,3186,0.9993726474278545,0.0006273525721455231
Northern Mariana Islands,2,3186,0.9993726474278545,0.0006273525721455231
Marshall Islands,2,3186,0.9993726474278545,0.0006273525721455231
Liberia,2,3186,0.9993726474278545,0.0006273525721455231
Kyrgyzstan,2,3186,0.9993726474278545,0.0006273525721455231
Jordan,2,3186,0.9993726474278545,0.0006273525721455231
Malawi,2,3186,0.9993726474278545,0.0006273525721455231
Jamaica,2,3186,0.9993726474278545,0.0006273525721455231
Isle of Man,1,3186,0.9993726474278545,0.0006273525721455231
Paraguay,2,3186,0.9993726474278545,0.0006273525721455231
Guatemala,2,3186,0.9993726474278545,0.0006273525721455231
Guadeloupe,2,3186,0.9993726474278545,0.0006273525721455231
Bhutan,1,3187,0.9996863237139272,0.00031367628607281706
Guam,1,3187,0.9996863237139272,0.00031367628607281706
Grenada,1,3187,0.9996863237139272,0.00031367628607281706
Guinea,1,3187,0.9996863237139272,0.00031367628607281706
Guinea-Bissau,1,3187,0.9996863237139272,0.00031367628607281706
French Guiana,1,3187,0.9996863237139272,0.00031367628607281706
Faroe Islands,1,3187,0.9996863237139272,0.00031367628607281706
Gambia,1,3187,0.9996863237139272,0.00031367628607281706
Gibraltar,1,3187,0.9996863237139272,0.00031367628607281706
Falkland Islands,1,3187,0.9996863237139272,0.00031367628607281706
Cocos (Keeling) Islands,1,3187,0.9996863237139272,0.00031367628607281706
Central African Republic,1,3187,0.9996863237139272,0.00031367628607281706
Cote d'Ivoire,1,3187,0.9996863237139272,0.00031367628607281706
Djibouti,1,3187,0.9996863237139272,0.00031367628607281706
Dominica,1,3187,0.9996863237139272,0.00031367628607281706
