Country,NumAirports,Degree,DegreeCentrality,Betweenness,Closeness,Eigenvector
Algeria,26,28,0.125,0.0014935568281447575,0.4796573875802998,0.08054174632302794
Congo (Kinshasa),18,12,0.05357142857142857,0.00025991970308857077,0.4392156862745098,0.024955573738009298
Czech Republic,5,38,0.16964285714285712,0.0011361763841795628,0.4933920704845815,0.10827097579137757
Germany,32,100,0.4464285714285714,0.05709179321698007,0.6222222222222222,0.20252848270534146
Vietnam,20,21,0.09375,0.001458522643249308,0.4666666666666667,0.047406758751687234
France,55,116,0.5178571428571428,0.12613599203660414,0.6492753623188405,0.20612763808638293
Bolivia,14,9,0.040178571428571425,3.9078719479289075e-05,0.41025641025641024,0.013632715744405511
Venezuela,23,22,0.09821428571428571,0.0023291050948639988,0.47058823529411764,0.03716775795248836
French Polynesia,27,6,0.026785714285714284,0.00045249393574972135,0.4036036036036036,0.007411573839417393
South Africa,18,43,0.1919642857142857,0.03876479917292153,0.5333333333333333,0.08137028778708931
Kenya,16,46,0.20535714285714285,0.024313278614427454,0.5,0.07722453861389354
Malaysia,32,38,0.16964285714285712,0.007213982934667691,0.49667405764966743,0.07756466090394215
Croatia,8,25,0.11160714285714285,0.00030109249029793906,0.4534412955465587,0.07889312725438323
Greenland,17,2,0.008928571428571428,0.0,0.3462132921174652,0.004253105311514713
Mozambique,10,6,0.026785714285714284,4.622077706260261e-05,0.3835616438356164,0.010490688626484168
Kuwait,1,26,0.11607142857142856,0.0014988884892143744,0.48590021691973967,0.06820941395280301
South Korea,15,45,0.20089285714285712,0.021012804419383944,0.5397590361445783,0.10386302878132972
Austria,6,59,0.26339285714285715,0.007267362946102605,0.5423728813559322,0.15099179711642116
Nigeria,16,33,0.14732142857142858,0.006105289981687569,0.5011185682326622,0.07163401084510163
Azerbaijan,5,22,0.09821428571428571,0.0005546894865383084,0.4543610547667343,0.065435049143948
Greece,39,42,0.1875,0.0019299917562478727,0.509090909090909,0.12043700717907822
Bahamas,17,9,0.040178571428571425,0.0004675738178403245,0.42748091603053434,0.014948965378939652
Netherlands Antilles,5,24,0.10714285714285714,0.010745056919297304,0.469601677148847,0.030141887846673963
Ecuador,14,13,0.05803571428571428,0.00010166542567880492,0.42748091603053434,0.021569961809819297
Japan,62,40,0.17857142857142855,0.020544998608663913,0.5233644859813084,0.0918865361955763
Laos,7,7,0.03125,0.0,0.37583892617449666,0.014555981444291887
Denmark,8,46,0.20535714285714285,0.014858825913460941,0.5270588235294118,0.12771356219485783
Nepal,9,14,0.0625,0.0008494362316477205,0.417910447761194,0.035401496624832246
Sudan,5,14,0.0625,0.0004234649109945281,0.4148148148148148,0.029576420739772225
Poland,11,40,0.17857142857142855,0.0013555533815479011,0.5125858123569794,0.11890338147497173
Portugal,14,38,0.16964285714285712,0.0087608296146507,0.5056433408577878,0.1021750106193932
Ghana,5,24,0.10714285714285714,0.0031744212375820167,0.49015317286652077,0.05751322653470469
Serbia,2,28,0.125,0.00040633907417696245,0.459958932238193,0.08492388168449638
Fiji,10,14,0.0625,0.02180619068611383,0.4218455743879473,0.010971077144238183
Namibia,4,7,0.03125,0.00019212467686735145,0.40950639853747717,0.010321525648406778
Macau,1,9,0.040178571428571425,0.0,0.3783783783783784,0.01879395797224681
Pakistan,22,24,0.10714285714285714,0.0017170850972143747,0.49015317286652077,0.06739142489882098
Honduras,7,8,0.03571428571428571,9.609224855861628e-05,0.3916083916083916,0.007370567301149833
Spain,40,74,0.33035714285714285,0.039135093514771256,0.5642317380352645,0.1582851871224684
Angola,14,22,0.09821428571428571,0.005532808363286338,0.47761194029850745,0.050306095986205585
Bosnia and Herzegovina,3,10,0.04464285714285714,6.725206197950032e-06,0.4072727272727273,0.032910116839061365
Chile,16,20,0.08928571428571427,0.007673095867457057,0.46473029045643155,0.02763374158878615
North Korea,1,3,0.013392857142857142,2.047420068720517e-06,0.3822525597269625,0.009145636597450971
Turkey,43,97,0.43303571428571425,0.048458825305479285,0.6086956521739131,0.1977886971478845
Cook Islands,6,4,0.017857142857142856,4.028867713004485e-05,0.4007155635062612,0.005572732361509371
Taiwan,9,24,0.10714285714285714,0.00403491192146334,0.49777777777777776,0.05573888591523398
New Zealand,25,20,0.08928571428571427,0.019880577086283945,0.4400785854616896,0.026905481246225847
Guyana,2,7,0.03125,0.00011059843354804229,0.3957597173144876,0.009495210722095072
Tunisia,8,31,0.13839285714285712,0.002030282226505318,0.48068669527896996,0.08663706423872983
Belize,3,5,0.02232142857142857,0.0,0.38956521739130434,0.005803118510889868
Uzbekistan,11,22,0.09821428571428571,0.0003516612559943607,0.46473029045643155,0.06604762829433379
