Airport_ID,Name,Country,Degree,DegreeCentrality,Betweenness,Closeness,Eigenvector
4315,Milas Bodrum International Airport,Turkey,21,0.006589268904926262,3.316435463106984e-05,0.30332159512705814,0.021170799070107493
5534,Whale Cove Airport,Canada,3,0.0009413241292751803,0.0,0.19047334448960077,1.8758316401706542e-06
2927,Khabarovsk-Novy Airport,Russia,20,0.006275494195167869,0.0003345018036236631,0.3042482100238664,0.007635967119975344
4103,Roberts Field,United States,6,0.0018826482585503606,0.0,0.2901493080844865,0.004147596948071283
1659,Satu Mare Airport,Romania,1,0.00031377470975839345,0.0,0.2475147561354458,0.0009366494460962281
2994,Sardar Vallabhbhai Patel International Airport,India,17,0.005334170065892689,5.05720337899288e-05,0.3001789582744655,0.00836862430080721
2860,Santa Elena de Uairen Airport,Venezuela,1,0.00031377470975839345,0.0,0.19932453561823754,5.875359521854125e-06
3101,Kanpur Civil Airport,India,1,0.00031377470975839345,0.0,0.2648109680099709,0.0007231173622645981
2051,Kandahar Airport,Afghanistan,4,0.0012550988390335738,3.7911296119321788e-06,0.2907050989692602,0.0024285999600749406
618,Bornholm Airport,Denmark,1,0.00031377470975839345,0.0,0.269490952139354,0.0015672230926007866
1367,Paris Beauvais Tillé Airport,France,59,0.018512707875745212,0.00016428267531589652,0.2948741672834937,0.03428056031331279
3916,El Tari Airport,Indonesia,6,0.0018826482585503606,0.00019495562053637532,0.23788907964469658,0.00023227390753617757
2344,Hanamaki Airport,Japan,4,0.0012550988390335738,4.969966947924442e-06,0.24504075042288176,0.0003366976964807006
6083,Kokshetau Airport,Kazakhstan,2,0.0006275494195167869,0.0,0.26406495981440053,0.0014610236255189694
2967,Volgograd International Airport,Russia,10,0.0031377470975839346,1.1191646460156264e-06,0.2957772621809745,0.006475561721797867
4235,Kaadedhdhoo Airport,Maldives,2,0.0006275494195167869,0.0,0.24629057187017,0.0002981751614364103
5968,Chevak Airport,United States,3,0.0009413241292751803,0.0,0.18915069143569352,1.4728206819660528e-06
2637,Brigadeiro Camarão Airport,Brazil,1,0.00031377470975839345,0.0,0.21008569545154912,2.009204126554407e-05
662,Sandnessjøen Airport (Stokka),Norway,5,0.0015688735487919673,6.152049506588215e-05,0.2549396048316135,0.0015313754968008732
9025,Bijie Feixiong Airport,China,7,0.0021964229683087543,3.878515449875096e-08,0.26930877133682607,0.0016584484395956742
2976,Ashgabat International Airport,Turkmenistan,11,0.003451521807342328,0.00011896671022501655,0.3152012659479774,0.011717915537784406
3164,Phrae Airport,Thailand,1,0.00031377470975839345,0.0,0.22349228611500702,0.00010203528794772578
2258,Yap International Airport,Micronesia,2,0.0006275494195167869,0.0,0.22749660932257834,0.00011618729361920274
698,Mora Airport,Sweden,2,0.0006275494195167869,0.0,0.26452523240371845,0.001381225359401805
3039,Lengpui Airport,India,3,0.0009413241292751803,0.0,0.2340972528279712,0.00016871504896622176
382,Friedrichshafen Airport,Germany,12,0.003765296517100721,7.629966916415025e-06,0.302515424774561,0.013236211628264268
6159,Vorkuta Airport,Russia,2,0.0006275494195167869,4.104554690616024e-06,0.2602907546553414,0.001127098657494587
3246,Mopah Airport,Indonesia,1,0.00031377470975839345,0.0,0.19618344105878732,4.097512874838584e-06
7617,Choiseul Bay Airport,Solomon Islands,2,0.0006275494195167869,0.0,0.20240060967864854,3.90708565611887e-06
6492,Ain Arnat Airport,Algeria,4,0.0012550988390335738,0.0,0.2613580449401345,0.0034463829649670377
2134,Bandar Abbas International Airport,Iran,12,0.003765296517100721,9.73648929483554e-05,0.2889130631855679,0.0020335452628285075
5915,Aniwa Airport,Vanuatu,2,0.0006275494195167869,0.0,0.17222372331802216,1.399114439462787e-07
3426,St Paul Island Airport,United States,2,0.0006275494195167869,0.0,0.23244110568156953,0.00010080147787359761
1453,Kastoria National Airport,Greece,1,0.00031377470975839345,0.0,0.25520499679692504,0.0012408663223818276
5481,Kangirsuk Airport,Canada,3,0.0009413241292751803,0.0007318956471213447,0.20909329484319644,1.370484452702974e-05
3375,Zhengzhou Xinzheng International Airport,China,55,0.01725760903671164,0.00027847617160177337,0.29517458553301845,0.012741527002091704
7209,Scammon Bay Airport,United States,3,0.0009413241292751803,0.0,0.18915069143569352,1.4728206819660528e-06
224,Hassi R'Mel Airport,Algeria,2,0.0006275494195167869,0.0,0.2520762477260144,0.000700326564824913
890,Bata Airport,Equatorial Guinea,2,0.0006275494195167869,0.0,0.23102573396158027,0.00017431033671730527
5842,Aerotortuguero Airport,Costa Rica,1,0.00031377470975839345,0.0,0.2447960672862739,0.00027351190311320156
1353,Marseille Provence Airport,France,84,0.02635707561970505,0.0023424904295446607,0.3251377269944909,0.0636352446837209
3326,Mackay Airport,Australia,5,0.0015688735487919673,4.581228059561345e-06,0.2605887162714636,0.0006272269410091646
3144,Chennai International Airport,India,38,0.011923438970818951,0.0009253276010713644,0.32114066908504635,0.017893942208096182
4380,Longjia Airport,China,29,0.00909946658299341,3.607889991584443e-05,0.2953660797034291,0.008934559937877194
5563,Campbeltown Airport,United Kingdom,1,0.00031377470975839345,0.0,0.24892603296102475,0.0007197567460939543
2746,Almirante Padilla Airport,Colombia,1,0.00031377470975839345,0.0,0.2496475011749961,0.00037686775929964976
7417,Wilwal International Airport,Ethiopia,3,0.0009413241292751803,0.00031334373733846166,0.2564370775667847,0.0004765751863891832
1934,Treasure Cay Airport,Bahamas,1,0.00031377470975839345,0.0,0.25074744295830054,0.0005799806945889107
5449,Qaarsut Airport,Greenland,2,0.0006275494195167869,0.0003139716806998614,0.17730180806675938,4.490922818805926e-07
1479,Santorini Airport,Greece,11,0.003451521807342328,3.10264088480719e-06,0.3017420943003219,0.014780257247568374
353,Bremen Airport,Germany,43,0.013492312519610918,0.00012561783210192403,0.313187893081761,0.04155720169459373
1354,Nice-Côte d'Azur Airport,France,89,0.027925949168497017,0.0013171326780504623,0.3407098567457772,0.08352170268388343
416,Tartu Airport,Estonia,1,0.00031377470975839345,0.0,0.2606100253495789,0.001101451700059535
8628,Uummannaq Heliport,Greenland,1,0.00031377470975839345,0.0,0.15060724918482113,6.430548724850404e-09
2870,Dr. Antonio Nicolás Briceño Airport,Venezuela,1,0.00031377470975839345,0.0,0.24684377662458368,0.0003121765336697026
7862,Tengchong Tuofeng Airport,China,4,0.0012550988390335738,0.0,0.2517576427837902,0.0007919870068620565
5697,Gamal Abdel Nasser Airport,Libya,3,0.0009413241292751803,2.5408154219481757e-07,0.2503534956794973,0.0011902043668173062
3446,Ernest A. Love Field,United States,1,0.00031377470975839345,0.0,0.2847060925495801,0.0010828365255936227
8266,Gazipaşa Airport,Turkey,6,0.0018826482585503606,2.638754343694291e-06,0.2875315770479971,0.006931719188292623
6195,Vinh Airport,Vietnam,5,0.0015688735487919673,2.8666565877232804e-06,0.2534796786765291,0.0007652742946934465
6197,Dawei Airport,Burma,2,0.0006275494195167869,0.0006279433613997228,0.23626658758988806,0.00014536805400642023
6792,Grafton Airport,Australia,1,0.00031377470975839345,0.0,0.20574564234990317,3.821258310854272e-06
2856,General Manuel Carlos Piar International Airport,Venezuela,6,0.0018826482585503606,0.0006272656398951085,0.24892603296102475,0.00041019514452774516
946,Cabinda Airport,Angola,2,0.0006275494195167869,0.0,0.24956930305403288,0.0003139449759356821
3370,Guangzhou Baiyun International Airport,China,146,0.04581110762472544,0.018613163225610484,0.36352229953233717,0.040290408103992474
3948,Monterey Peninsula Airport,United States,6,0.0018826482585503606,0.0,0.2896746046173423,0.004359215056548288
155,Norman Wells Airport,Canada,4,0.0012550988390335738,0.0018838300841991684,0.20544059820795463,1.3686025751708458e-05
1633,João Paulo II Airport,Portugal,17,0.005334170065892689,0.0033081866983883934,0.3125429047759145,0.015165280688558649
1804,Don Miguel Hidalgo Y Costilla International Airport,Mexico,41,0.012864763100094132,0.0006063791612188235,0.3064717761323204,0.012636417473069624
168,Fort St John Airport,Canada,5,0.0015688735487919673,0.00013136834360864922,0.26629344919786097,0.0012437300773178487
1226,Jerez Airport,Spain,16,0.005020395356134295,1.4230878579576002e-05,0.30225720789074356,0.02042269365610521
167,Medicine Hat Airport,Canada,1,0.00031377470975839345,0.0,0.25485805677728907,0.0004373979490973328
737,Stockholm-Arlanda Airport,Sweden,124,0.03890806401004079,0.022176198350631462,0.35958479070292226,0.09507535819619524
8807,Tabing Airport,Indonesia,3,0.0009413241292751803,2.301496469844245e-06,0.26200263071358104,0.0008084446637182188
5594,Hagfors Airport,Sweden,2,0.0006275494195167869,8.815911279454892e-06,0.264547190171827,0.001367656992659162
1981,Makemo Airport,French Polynesia,2,0.0006275494195167869,0.0,0.23047439976858547,3.696994387584276e-05
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Canada,2,0.0006275494195167869,0.0,0.14572473708276176,5.788058514024731e-09
3531,Kodiak Airport,United States,3,0.0009413241292751803,0.0009419150420995842,0.23252590106522691,9.939789524268737e-05
11473,Jinchuan Airport,China,4,0.0012550988390335738,2.669209299488097e-06,0.23126043102822727,0.000375887282423445
7246,Manley Hot Springs Airport,United States,1,0.00031377470975839345,0.0,0.2132771197216088,1.0990849743671547e-05
2189,Fujairah International Airport,United Arab Emirates,1,0.00031377470975839345,0.0,0.2234296130117779,2.1536198372562028e-05
7178,Buckland Airport,United States,2,0.0006275494195167869,0.0,0.18900486300557467,1.4691571766786675e-06
1818,General Servando Canales International Airport,Mexico,1,0.00031377470975839345,0.0,0.2612937607608428,0.0005770272106880148
234,Touat Cheikh Sidi Mohamed Belkebir Airport,Algeria,6,0.0018826482585503606,0.0003139716806998614,0.25221589110478,0.0010743279558399145
2096,Prince Abdulmohsin Bin Abdulaziz Airport,Saudi Arabia,8,0.0025101976780671476,1.7176147536502697e-07,0.2964926969950693,0.006194448085725326
2390,Miyako Airport,Japan,3,0.0009413241292751803,0.0,0.25749373838571543,0.0004639732646635316
3967,Asmara International Airport,Eritrea,9,0.002823972387825541,0.0003146386282480399,0.2731168052103865,0.002641091954119112
3826,Mc Allen Miller International Airport,United States,5,0.0015688735487919673,7.172260705506611e-07,0.28672964462438144,0.0031973544429650617
6176,Barisal Airport,Bangladesh,1,0.00031377470975839345,0.0,0.24402756508422666,0.0002672176168529479
3378,Lanzhou Zhongchuan Airport,China,33,0.010354565422026984,0.0013838587833046357,0.2889130631855679,0.007642691865341963
800,Ben Schoeman Airport,South Africa,4,0.0012550988390335738,0.0,0.2621750575847318,0.0006461375689596768
6381,Jiujiang Lushan Airport,China,4,0.0012550988390335738,0.0,0.28531781557743957,0.002178080638160194
3797,John F Kennedy International Airport,United States,162,0.05083150298085974,0.022331318035790932,0.39748066849588426,0.10658348360399865
9273,Kastamonu Airport,Turkey,1,0.00031377470975839345,0.0,0.28143765453903213,0.0018500960318744398
957,Saurimo Airport,Angola,2,0.0006275494195167869,0.0,0.24956930305403288,0.0003139449759356821
8256,Senadora Eunice Micheles Airport,Brazil,1,0.00031377470975839345,0.0,0.17825381732759102,5.78674753458388e-07
1313,Le Puy-Loudes Airport,France,1,0.00031377470975839345,0.0,0.2477841704245063,0.0009489876588986584
521,Newcastle Airport,United Kingdom,49,0.015374960778161278,0.00010254065269245419,0.3206560016098199,0.04505777438564645
2509,Presidente Peron Airport,Argentina,3,0.0009413241292751803,0.0,0.21316299913049294,3.473939732937506e-05
3894,Abdul Rachman Saleh Airport,Indonesia,2,0.0006275494195167869,0.0,0.24549376059158837,0.0003962162947529138
2724,Perales Airport,Colombia,2,0.0006275494195167869,0.0,0.2497061819321476,0.00038277084211419803
6019,Basco Airport,Philippines,1,0.00031377470975839345,0.0,0.2540656887755102,0.00032869247236229777
4129,Greater Binghamton/Edwin A Link field,United States,3,0.0009413241292751803,0.0,0.2792185035920799,0.0029098281084287366
1190,Tirana International Airport Mother Teresa,Albania,18,0.005647944775651082,1.3707045058287152e-05,0.304538939321548,0.020889922894937105
2786,Coronel FAP Alfredo Mendivil Duarte Airport,Peru,1,0.00031377470975839345,0.0,0.25299674525680715,0.00033003736122570916
3502,Dallas Love Field,United States,24,0.007530593034201442,0.000143654030331546,0.2938681420009221,0.00772146579427296
6013,Jolo Airport,Philippines,1,0.00031377470975839345,0.0,0.20269668638300578,5.931991991399576e-06
3235,Sittwe Airport,Burma,2,0.0006275494195167869,0.0,0.23621405277201304,0.00014745019657733243
1946,Rock Sound Airport,Bahamas,1,0.00031377470975839345,0.0,0.2423205596107056,0.0002718234844618998
1113,Gambella Airport,Ethiopia,2,0.0006275494195167869,0.0,0.25639581657280774,0.0004749446502335015
3995,Ilulissat Airport,Greenland,5,0.0015688735487919673,0.0015707006240589193,0.2154688662024204,3.1356019086632885e-05
2711,José Celestino Mutis Airport,Colombia,1,0.00031377470975839345,0.0,0.1998996424763219,5.9030828145482895e-06
7558,Ulaangom Airport,Mongolia,1,0.00031377470975839345,0.0,0.23174810936591042,9.103236982906744e-05
2097,Abadan Airport,Iran,3,0.0009413241292751803,0.0,0.23112626006236855,0.00024995907981211494
4318,University Park Airport,United States,4,0.0012550988390335738,0.0,0.2871688592539196,0.004198323573512386
1682,Esenboğa International Airport,Turkey,44,0.013806087229369312,0.0010050182032759123,0.3090574088440652,0.01977428480103777
1132,Luxor International Airport,Egypt,7,0.0021964229683087543,6.344360188468236e-08,0.3060597330260252,0.007929910046125619
6153,Karshi Khanabad Airport,Uzbekistan,3,0.0009413241292751803,0.0,0.2662044771132643,0.002503600232203783
5864,Mauke Airport,Cook Islands,1,0.00031377470975839345,0.0,0.22824607892286758,2.2037087118277056e-05
1610,Innsbruck Airport,Austria,6,0.0018826482585503606,5.069918846743834e-07,0.30108644307982996,0.009926350263952992
2764,Capitan Nicolas Rojas Airport,Bolivia,1,0.00031377470975839345,0.0,0.21139559564871319,2.4997325721700288e-05
8240,Redenção Airport,Brazil,2,0.0006275494195167869,0.0006279433613997228,0.19225432828617964,2.3459586179221108e-06
937,Tôlanaro Airport,Madagascar,2,0.0006275494195167869,0.0,0.2365647268408551,9.293008366503979e-05
4297,Bogashevo Airport,Russia,4,0.0012550988390335738,1.6714487519553062e-07,0.27523965800155453,0.0026763743006589665
4109,Changzhou Benniu Airport,China,18,0.005647944775651082,2.7182049631844312e-06,0.2873501036876747,0.004847591906713249
410,Westerland Sylt Airport,Germany,7,0.0021964229683087543,1.7941238897134938e-08,0.2957223717175466,0.01164472222810065
2388,Kumejima Airport,Japan,1,0.00031377470975839345,0.0,0.2279033180778032,0.00010996925823052704
3396,Xichang Qingshan Airport,China,3,0.0009413241292751803,0.0,0.25392399012030914,0.0009045765688544654
7821,Zonguldak Airport,Turkey,2,0.0006275494195167869,2.440928811772668e-07,0.2684467654986523,0.001934078507688733
7056,Charlotte County Airport,United States,18,0.005647944775651082,1.0939373818298325e-05,0.24851840299438552,0.001789958025152099
7894,Yushu Batang Airport,China,1,0.00031377470975839345,0.0,0.22207511671660513,6.82071993624166e-05
5776,Valdosta Regional Airport,United States,1,0.00031377470975839345,0.0,0.27332761578044595,0.0011634124699620718
6401,Nanchong Airport,China,6,0.0018826482585503606,7.948650144300288e-09,0.28672964462438144,0.003290722346196991
515,Humberside Airport,United Kingdom,4,0.0012550988390335738,7.849292017496536e-09,0.288808337109198,0.003261585059716595
6089,Ganja Airport,Azerbaijan,5,0.0015688735487919673,6.06157073675137e-06,0.2862403448895276,0.004364052936480691
927,Antsirabato Airport,Madagascar,3,0.0009413241292751803,0.0,0.23659985152190052,9.544826083954628e-05
8243,São Félix do Araguaia Airport,Brazil,2,0.0006275494195167869,0.0003139716806998614,0.1611142004954249,2.5034832365824535e-08
6154,Termez Airport,Uzbekistan,2,0.0006275494195167869,0.0,0.26393374741200826,0.001563943233858806
1520,Olbia Costa Smeralda Airport,Italy,33,0.010354565422026984,2.4819372281557904e-05,0.308250314343747,0.038185207214216345
4365,Noyabrsk Airport,Russia,5,0.0015688735487919673,1.046572268999538e-07,0.26295379537953795,0.001721749789539967
640,Bardufoss Airport,Norway,1,0.00031377470975839345,0.0,0.25463406839245767,0.0011896340715654588
2037,Woodbourne Airport,New Zealand,3,0.0009413241292751803,0.0,0.24659548127514702,0.00018635771744046655
1652,Cluj-Napoca International Airport,Romania,18,0.005647944775651082,2.2904346330736594e-05,0.2937327188940092,0.01697710917107038
6311,Olympic Dam Airport,Australia,1,0.00031377470975839345,0.0,0.2342521131936788,6.907696373342428e-05
724,Kiruna Airport,Sweden,2,0.0006275494195167869,0.0,0.26452523240371845,0.0013818105508349085
492,London Luton Airport,United Kingdom,85,0.026670850329463442,0.0013507333997557732,0.3156695721077655,0.06066271005900844
6054,Obando Airport,Colombia,2,0.0006275494195167869,0.0,0.24966705836271053,0.0003825015332814153
490,Bristol Airport,United Kingdom,73,0.02290555381236272,0.0004889107911606574,0.3140829801911895,0.0613774180367421
1514,Reggio Calabria Airport,Italy,4,0.0012550988390335738,0.0,0.2799051466713508,0.004073676562658755
2316,Amami Airport,Japan,2,0.0006275494195167869,0.0,0.257306636525109,0.00035867379859014914
8944,Bodaybo Airport,Russia,1,0.00031377470975839345,0.0,0.22977649603460706,0.00010393242915153502
5762,Pellston Regional Airport of Emmet County Airport,United States,1,0.00031377470975839345,0.0,0.2655612032330639,0.0008003890906092253
2162,Tabriz International Airport,Iran,11,0.003451521807342328,0.00011463520169587259,0.2966859057903556,0.005096271189899189
9044,Şanlıurfa GAP Airport,Turkey,4,0.0012550988390335738,9.932411229069978e-08,0.28291167332445627,0.0036949321631896833
726,Skellefteå Airport,Sweden,3,0.0009413241292751803,1.2668791150497749e-06,0.268130573784284,0.002884956430077578
4148,Luoyang Airport,China,9,0.002823972387825541,2.781101134404367e-07,0.28606049726236427,0.0030520826809556155
3084,Lal Bahadur Shastri Airport,India,6,0.0018826482585503606,0.0018047915078901852,0.2672984986999916,0.0016122375568441221
6278,King Island Airport,Australia,2,0.0006275494195167869,0.0,0.24912061283514422,0.00020300082209853617
3646,Tampa International Airport,United States,69,0.02165045497332915,0.0004515307765342058,0.3295760082730093,0.034958617420529595
2547,Hugo Cantergiani Regional Airport,Brazil,3,0.0009413241292751803,1.3384049209321015e-07,0.22324180442701036,9.921781706392929e-05
915,Dzaoudzi Pamandzi International Airport,Mayotte,10,0.0031377470975839346,0.00011404575133796288,0.268130573784284,0.0026057327908119354
6361,Yichang Sanxia Airport,China,14,0.004392845936617509,1.0825496467789544e-07,0.28922769761321354,0.005081049432674318
9090,Busselton Regional Airport,Australia,2,0.0006275494195167869,0.0,0.23960604465829638,0.00012766287137032148
5898,Longana Airport,Vanuatu,2,0.0006275494195167869,0.0,0.20128844817785638,2.4308958443432424e-06
